x-axis,1,2
second,Volt,Volt
-43.0000E-09,-18.7735950494E-03,-88.3007500161E-03
-42.2188E-09,-18.7735950494E-03,-88.3007500161E-03
-41.4375E-09,-18.7735950494E-03,-88.3007500161E-03
-40.6563E-09,-18.7735950494E-03,-88.3007500161E-03
-39.8750E-09,-18.7735950494E-03,-88.3007500161E-03
-39.0938E-09,-18.7735950494E-03,-88.3007500161E-03
-38.3125E-09,-18.7735950494E-03,-88.3007500161E-03
-37.5313E-09,-18.7735950494E-03,-88.3007500161E-03
-36.7500E-09,-18.7735950494E-03,-88.3007500161E-03
-35.9688E-09,-18.7735950494E-03,-88.3007500161E-03
-35.1875E-09,-18.7735950494E-03,-88.3007500161E-03
-34.4063E-09,-18.7735950494E-03,-88.3007500161E-03
-33.6250E-09,-38.0700772548E-03,-88.3007500161E-03
-32.8438E-09,-38.8740973467E-03,-88.3007500161E-03
-32.0625E-09,-38.8740973467E-03,-88.3007500161E-03
-31.2813E-09,-38.8740973467E-03,-88.3007500161E-03
-30.5000E-09,-38.8740973467E-03,-88.3007500161E-03
-29.7188E-09,-38.8740973467E-03,-88.3007500161E-03
-28.9375E-09,-38.8740973467E-03,-88.3007500161E-03
-28.1563E-09,-38.8740973467E-03,-88.3007500161E-03
-27.3750E-09,-38.8740973467E-03,-88.3007500161E-03
-26.5938E-09,-38.8740973467E-03,-88.3007500161E-03
-25.8125E-09,-38.8740973467E-03,-88.3007500161E-03
-25.0313E-09,-38.8740973467E-03,-88.3007500161E-03
-24.2500E-09,-38.8740973467E-03,-88.3007500161E-03
-23.4688E-09,-19.5776151413E-03,-88.3007500161E-03
-22.6875E-09,-18.7735950494E-03,-88.3007500161E-03
-21.9063E-09,-18.7735950494E-03,-88.3007500161E-03
-21.1250E-09,-18.7735950494E-03,-88.3007500161E-03
-20.3438E-09,-18.7735950494E-03,-88.3007500161E-03
-19.5625E-09,-18.7735950494E-03,-88.3007500161E-03
-18.7813E-09,-18.7735950494E-03,-88.3007500161E-03
-18.0000E-09,-18.7735950494E-03,-49.7077856053E-03
-17.2188E-09,-18.7735950494E-03,-48.0997454215E-03
-16.4375E-09,-18.7735950494E-03,-48.0997454215E-03
-15.6563E-09,-18.7735950494E-03,-48.0997454215E-03
-14.8750E-09,-18.7735950494E-03,-48.0997454215E-03
-14.0938E-09,-18.7735950494E-03,-48.0997454215E-03
-13.3125E-09,-18.7735950494E-03,-86.6927098323E-03
-12.5313E-09,-18.7735950494E-03,-88.3007500161E-03
-11.7500E-09,-18.7735950494E-03,-88.3007500161E-03
